condition,variant,size,h_plan,lam,t_reeval,n_seeds,scr,fht,dead_loop_rate,new_states_per_step,success_rate,pe_nav,pe_search,pe_acquire,dscr_vs_flat,dfht_vs_flat,dscr_vs_random,dfht_vs_random
layered_lam2_h100_t10,B,15,100,2.0,10,12,0.4437,190.5,0.1729,0.6587,0.6667,0.9336,1.0,0.908,0.2267,,0.1119,-78.5
layered_lam2_h100_t25,B,15,100,2.0,25,12,0.4437,190.5,0.1729,0.6587,0.6667,0.9336,1.0,0.908,0.2267,,0.1119,-78.5
layered_lam2_h100_tnever,B,15,100,2.0,,12,0.4437,190.5,0.1729,0.6587,0.6667,0.9336,1.0,0.908,0.2267,,0.1119,-78.5
layered_lam2_h20_t10,B,15,20,2.0,10,12,0.3604,116.78,0.1862,0.7806,0.75,0.9045,1.0,0.8753,0.1433,,0.0285,-152.22
layered_lam2_h20_t25,B,15,20,2.0,25,12,0.3615,117.89,0.1856,0.7788,0.75,0.9042,1.0,0.8753,0.1444,,0.0296,-151.11
layered_lam2_h20_tnever,B,15,20,2.0,,12,0.3615,117.89,0.1856,0.7788,0.75,0.9042,1.0,0.8753,0.1444,,0.0296,-151.11
layered_lam2_h50_t10,B,15,50,2.0,10,12,0.3396,115.0,0.1733,0.704,0.6667,0.9308,1.0,0.908,0.1226,,0.0078,-154.0
layered_lam2_h50_t25,B,15,50,2.0,25,12,0.3396,115.0,0.1733,0.704,0.6667,0.9308,1.0,0.908,0.1226,,0.0078,-154.0
layered_lam2_h50_tnever,B,15,50,2.0,,12,0.3396,115.0,0.1733,0.704,0.6667,0.9308,1.0,0.908,0.1226,,0.0078,-154.0
layered_laminf_h100_t10,B,15,100,inf,10,12,0.4659,228.0,0.1554,0.5524,0.5,1.0747,,,0.2489,,0.1341,-41.0
layered_laminf_h100_t25,B,15,100,inf,25,12,0.4659,228.0,0.1554,0.5524,0.5,1.0747,,,0.2489,,0.1341,-41.0
layered_laminf_h100_tnever,B,15,100,inf,,12,0.4659,228.0,0.1554,0.5524,0.5,1.0747,,,0.2489,,0.1341,-41.0
layered_laminf_h20_t10,B,15,20,inf,10,12,0.3785,144.67,0.1463,0.5973,0.5,1.0701,,,0.1615,,0.0467,-124.33
layered_laminf_h20_t25,B,15,20,inf,25,12,0.3785,144.67,0.1463,0.5973,0.5,1.0701,,,0.1615,,0.0467,-124.33
layered_laminf_h20_tnever,B,15,20,inf,,12,0.3785,144.67,0.1463,0.5973,0.5,1.0701,,,0.1615,,0.0467,-124.33
layered_laminf_h50_t10,B,15,50,inf,10,12,0.3619,127.33,0.1558,0.5977,0.5,1.065,,,0.1448,,0.03,-141.67
layered_laminf_h50_t25,B,15,50,inf,25,12,0.3619,127.33,0.1558,0.5977,0.5,1.065,,,0.1448,,0.03,-141.67
layered_laminf_h50_tnever,B,15,50,inf,,12,0.3619,127.33,0.1558,0.5977,0.5,1.065,,,0.1448,,0.03,-141.67
random_goal,B,15,50,1.0,,12,0.3319,269.0,0.221,0.4688,0.5,0.9155,,,,,0.0,0.0
flat_count,A,20,50,1.0,,12,0.2135,-1,0.0388,0.1688,0.0,,,,0.0,,,
layered_lam0.5_h100_t10,A,20,100,0.5,10,12,0.6023,223.67,0.1371,0.6956,0.5,0.9927,,,0.3888,,0.2567,-37.33
layered_lam0.5_h100_t25,A,20,100,0.5,25,12,0.6023,223.67,0.1371,0.6956,0.5,0.9927,,,0.3888,,0.2567,-37.33
layered_lam0.5_h100_tnever,A,20,100,0.5,,12,0.6023,223.67,0.1371,0.6956,0.5,0.9927,,,0.3888,,0.2567,-37.33
layered_lam0.5_h20_t10,A,20,20,0.5,10,12,0.5708,305.6,0.1429,0.696,0.8333,0.9456,,,0.3573,,0.2252,44.6
layered_lam0.5_h20_t25,A,20,20,0.5,25,12,0.571,306.4,0.1426,0.6952,0.8333,0.9465,,,0.3575,,0.2254,45.4
layered_lam0.5_h20_tnever,A,20,20,0.5,,12,0.571,306.4,0.1426,0.6952,0.8333,0.9465,,,0.3575,,0.2254,45.4
layered_lam0.5_h50_t10,A,20,50,0.5,10,12,0.6142,255.33,0.1364,0.6693,0.5,0.9819,,,0.4006,,0.2685,-5.67
layered_lam0.5_h50_t25,A,20,50,0.5,25,12,0.6142,255.33,0.1364,0.6693,0.5,0.9819,,,0.4006,,0.2685,-5.67
layered_lam0.5_h50_tnever,A,20,50,0.5,,12,0.6142,255.33,0.1364,0.6693,0.5,0.9819,,,0.4006,,0.2685,-5.67
layered_lam0_h100_t10,A,20,100,0.0,10,12,0.6683,281.8,0.1386,0.6735,0.4167,0.9921,,,0.4548,,0.3227,20.8
layered_lam0_h100_t25,A,20,100,0.0,25,12,0.6683,281.8,0.1386,0.6735,0.4167,0.9921,,,0.4548,,0.3227,20.8
layered_lam0_h100_tnever,A,20,100,0.0,,12,0.6683,281.8,0.1386,0.6735,0.4167,0.992,,,0.4548,,0.3227,20.8
layered_lam0_h20_t10,A,20,20,0.0,10,12,0.5967,313.89,0.1451,0.6821,0.75,0.9442,,,0.3831,,0.251,52.89
layered_lam0_h20_t25,A,20,20,0.0,25,12,0.5988,293.25,0.1447,0.6816,0.6667,0.9443,,,0.3852,,0.2531,32.25
layered_lam0_h20_tnever,A,20,20,0.0,,12,0.596,314.56,0.1454,0.6809,0.75,0.9452,,,0.3825,,0.2504,53.56
layered_lam0_h50_t10,A,20,50,0.0,10,12,0.6327,273.33,0.1351,0.6723,0.5,0.9819,,,0.4192,,0.2871,12.33
layered_lam0_h50_t25,A,20,50,0.0,25,12,0.6327,273.33,0.1351,0.6723,0.5,0.9819,,,0.4192,,0.2871,12.33
layered_lam0_h50_tnever,A,20,50,0.0,,12,0.6327,273.33,0.1351,0.6723,0.5,0.9819,,,0.4192,,0.2871,12.33
layered_lam1_h100_t10,A,20,100,1.0,10,12,0.6117,174.2,0.1376,0.6992,0.4167,0.9928,,,0.3981,,0.266,-86.8
layered_lam1_h100_t25,A,20,100,1.0,25,12,0.6117,174.2,0.1376,0.6992,0.4167,0.9928,,,0.3981,,0.266,-86.8
layered_lam1_h100_tnever,A,20,100,1.0,,12,0.6117,174.2,0.1376,0.6992,0.4167,0.9928,,,0.3981,,0.266,-86.8
layered_lam1_h20_t10,A,20,20,1.0,10,12,0.5723,307.2,0.1398,0.6939,0.8333,0.9452,,,0.3588,,0.2267,46.2
layered_lam1_h20_t25,A,20,20,1.0,25,12,0.5725,307.6,0.1408,0.6942,0.8333,0.9457,,,0.359,,0.2269,46.6
layered_lam1_h20_tnever,A,20,20,1.0,,12,0.5729,308.2,0.1405,0.6933,0.8333,0.9457,,,0.3594,,0.2273,47.2
layered_lam1_h50_t10,A,20,50,1.0,10,12,0.6175,299.86,0.1373,0.6615,0.5833,0.9813,,,0.404,,0.2719,38.86
layered_lam1_h50_t25,A,20,50,1.0,25,12,0.6175,299.86,0.1373,0.6615,0.5833,0.9813,,,0.404,,0.2719,38.86
layered_lam1_h50_tnever,A,20,50,1.0,,12,0.6175,299.86,0.1373,0.6615,0.5833,0.9813,,,0.404,,0.2719,38.86
layered_lam2_h100_t10,A,20,100,2.0,10,12,0.6119,175.0,0.1378,0.6985,0.4167,0.9928,,,0.3983,,0.2663,-86.0
layered_lam2_h100_t25,A,20,100,2.0,25,12,0.6119,175.0,0.1378,0.6985,0.4167,0.9928,,,0.3983,,0.2663,-86.0
layered_lam2_h100_tnever,A,20,100,2.0,,12,0.6119,175.0,0.1378,0.6985,0.4167,0.9928,,,0.3983,,0.2663,-86.0
layered_lam2_h20_t10,A,20,20,2.0,10,12,0.584,318.8,0.1393,0.6853,0.8333,0.9443,,,0.3704,,0.2383,57.8
layered_lam2_h20_t25,A,20,20,2.0,25,12,0.5708,306.0,0.1423,0.6916,0.8333,0.9462,,,0.3573,,0.2252,45.0
layered_lam2_h20_tnever,A,20,20,2.0,,12,0.5731,309.0,0.141,0.6915,0.8333,0.9462,,,0.3596,,0.2275,48.0
layered_lam2_h50_t10,A,20,50,2.0,10,12,0.5798,283.5,0.1365,0.6723,0.6667,0.9813,,,0.3662,,0.2342,22.5
layered_lam2_h50_t25,A,20,50,2.0,25,12,0.5798,283.5,0.1365,0.6723,0.6667,0.9813,,,0.3662,,0.2342,22.5
layered_lam2_h50_tnever,A,20,50,2.0,,12,0.5798,283.5,0.1365,0.6723,0.6667,0.9813,,,0.3662,,0.2342,22.5
layered_laminf_h100_t10,A,20,100,inf,10,12,0.6121,175.0,0.1384,0.6987,0.4167,1.0896,,,0.3985,,0.2665,-86.0
layered_laminf_h100_t25,A,20,100,inf,25,12,0.6121,175.0,0.1384,0.6987,0.4167,1.0896,,,0.3985,,0.2665,-86.0
layered_laminf_h100_tnever,A,20,100,inf,,12,0.6121,175.0,0.1384,0.6987,0.4167,1.0896,,,0.3985,,0.2665,-86.0
layered_laminf_h20_t10,A,20,20,inf,10,12,0.5731,309.0,0.141,0.6915,0.8333,1.0912,,,0.3596,,0.2275,48.0
layered_laminf_h20_t25,A,20,20,inf,25,12,0.5731,309.0,0.141,0.6915,0.8333,1.0912,,,0.3596,,0.2275,48.0
layered_laminf_h20_tnever,A,20,20,inf,,12,0.5731,309.0,0.141,0.6915,0.8333,1.0912,,,0.3596,,0.2275,48.0
layered_laminf_h50_t10,A,20,50,inf,10,12,0.5792,283.5,0.1365,0.6718,0.6667,1.0952,,,0.3656,,0.2335,22.5
layered_laminf_h50_t25,A,20,50,inf,25,12,0.5792,283.5,0.1365,0.6718,0.6667,1.0952,,,0.3656,,0.2335,22.5
layered_laminf_h50_tnever,A,20,50,inf,,12,0.5792,283.5,0.1365,0.6718,0.6667,1.0952,,,0.3656,,0.2335,22.5
random_goal,A,20,50,1.0,,12,0.3456,261.0,0.1503,0.3411,0.25,0.9834,,,,,0.0,0.0
flat_count,B,20,50,1.0,,12,0.1592,-1,0.031,0.1253,0.0,,,,0.0,,,
layered_lam0.5_h100_t10,B,20,100,0.5,10,12,0.5417,226.0,0.122,0.6291,0.4167,0.9898,0.9509,0.862,0.3825,,0.2812,93.0
layered_lam0.5_h100_t25,B,20,100,0.5,25,12,0.5417,226.0,0.122,0.6291,0.4167,0.9898,0.9509,0.862,0.3825,,0.2812,93.0
layered_lam0.5_h100_tnever,B,20,100,0.5,,12,0.5417,226.0,0.122,0.6291,0.4167,0.9898,0.9509,0.862,0.3825,,0.2812,93.0
layered_lam0.5_h20_t10,B,20,20,0.5,10,12,0.3894,250.7,0.1034,0.6369,0.8333,0.9536,0.9338,0.7767,0.2302,,0.129,117.7
layered_lam0.5_h20_t25,B,20,20,0.5,25,12,0.3779,227.78,0.099,0.6232,0.75,0.954,0.9338,0.7767,0.2188,,0.1175,94.78
layered_lam0.5_h20_tnever,B,20,20,0.5,,12,0.3787,229.33,0.0987,0.6223,0.75,0.9544,0.9338,0.7767,0.2196,,0.1183,96.33
layered_lam0.5_h50_t10,B,20,50,0.5,10,12,0.4794,208.43,0.1237,0.6756,0.5833,0.983,0.957,0.8095,0.3202,,0.219,75.43
layered_lam0.5_h50_t25,B,20,50,0.5,25,12,0.4794,208.43,0.1237,0.6756,0.5833,0.983,0.957,0.8095,0.3202,,0.219,75.43
layered_lam0.5_h50_tnever,B,20,50,0.5,,12,0.4794,208.43,0.1237,0.6756,0.5833,0.983,0.957,0.8095,0.3202,,0.219,75.43
layered_lam0_h100_t10,B,20,100,0.0,10,12,0.4892,259.4,0.0988,0.5433,0.4167,0.992,0.94,0.8095,0.33,,0.2288,126.4
layered_lam0_h100_t25,B,20,100,0.0,25,12,0.4892,259.4,0.0988,0.5433,0.4167,0.992,0.94,0.8095,0.33,,0.2288,126.4
layered_lam0_h100_tnever,B,20,100,0.0,,12,0.4892,259.4,0.0988,0.5433,0.4167,0.992,0.94,0.8095,0.33,,0.2288,126.4
layered_lam0_h20_t10,B,20,20,0.0,10,12,0.3854,192.17,0.0888,0.5348,0.5,0.9518,0.8392,0.7137,0.2263,,0.125,59.17
layered_lam0_h20_t25,B,20,20,0.0,25,12,0.3858,192.83,0.0885,0.5343,0.5,0.9523,0.8392,0.7137,0.2267,,0.1254,59.83
layered_lam0_h20_tnever,B,20,20,0.0,,12,0.3835,233.57,0.0889,0.5347,0.5833,0.9519,0.8392,0.7137,0.2244,,0.1231,100.57
layered_lam0_h50_t10,B,20,50,0.0,10,12,0.5419,235.0,0.1118,0.639,0.5,0.9815,0.9261,0.7441,0.3827,,0.2815,102.0
layered_lam0_h50_t25,B,20,50,0.0,25,12,0.541,235.0,0.1103,0.6383,0.5,0.9812,0.9261,0.7375,0.3819,,0.2806,102.0
layered_lam0_h50_tnever,B,20,50,0.0,,12,0.5458,235.0,0.1134,0.6422,0.5,0.9805,0.9261,0.6821,0.3867,,0.2854,102.0
layered_lam1_h100_t10,B,20,100,1.0,10,12,0.4985,218.83,0.1195,0.6253,0.5,0.9854,0.9798,0.8879,0.3394,,0.2381,85.83
layered_lam1_h100_t25,B,20,100,1.0,25,12,0.4985,218.83,0.1195,0.6253,0.5,0.9854,0.9798,0.8879,0.3394,,0.2381,85.83
layered_lam1_h100_tnever,B,20,100,1.0,,12,0.4985,218.83,0.1195,0.6253,0.5,0.9854,0.9798,0.8879,0.3394,,0.2381,85.83
layered_lam1_h20_t10,B,20,20,1.0,10,12,0.4608,275.33,0.1193,0.6416,0.75,0.9466,0.9509,0.862,0.3017,,0.2004,142.33
layered_lam1_h20_t25,B,20,20,1.0,25,12,0.4621,277.78,0.119,0.6386,0.75,0.9459,0.9509,0.862,0.3029,,0.2017,144.78
layered_lam1_h20_tnever,B,20,20,1.0,,12,0.4625,278.67,0.119,0.6379,0.75,0.9465,0.9509,0.862,0.3033,,0.2021,145.67
layered_lam1_h50_t10,B,20,50,1.0,10,12,0.4758,255.5,0.1081,0.5822,0.5,0.9791,0.9813,0.8854,0.3167,,0.2154,122.5
layered_lam1_h50_t25,B,20,50,1.0,25,12,0.4758,255.5,0.1081,0.5822,0.5,0.9791,0.9813,0.8854,0.3167,,0.2154,122.5
layered_lam1_h50_tnever,B,20,50,1.0,,12,0.4758,255.5,0.1081,0.5822,0.5,0.9791,0.9813,0.8854,0.3167,,0.2154,122.5
layered_lam2_h100_t10,B,20,100,2.0,10,12,0.5008,224.0,0.1153,0.5895,0.4167,0.9821,0.9897,0.892,0.3417,,0.2404,91.0
layered_lam2_h100_t25,B,20,100,2.0,25,12,0.5008,224.0,0.1153,0.5895,0.4167,0.9821,0.9897,0.892,0.3417,,0.2404,91.0
layered_lam2_h100_tnever,B,20,100,2.0,,12,0.5008,224.0,0.1153,0.5895,0.4167,0.9821,0.9897,0.892,0.3417,,0.2404,91.0
layered_lam2_h20_t10,B,20,20,2.0,10,12,0.4602,287.62,0.1128,0.5952,0.6667,0.9402,0.9892,0.892,0.301,,0.1998,154.62
layered_lam2_h20_t25,B,20,20,2.0,25,12,0.4444,267.88,0.1154,0.6021,0.6667,0.9427,0.9892,0.892,0.2852,,0.184,134.88
layered_lam2_h20_tnever,B,20,20,2.0,,12,0.4452,269.38,0.1117,0.6013,0.6667,0.9431,0.9892,0.892,0.286,,0.1848,136.38
layered_lam2_h50_t10,B,20,50,2.0,10,12,0.4535,250.0,0.1136,0.5974,0.5833,0.9761,0.9897,0.892,0.2944,,0.1931,117.0
layered_lam2_h50_t25,B,20,50,2.0,25,12,0.4535,250.0,0.1136,0.5974,0.5833,0.9761,0.9897,0.892,0.2944,,0.1931,117.0
layered_lam2_h50_tnever,B,20,50,2.0,,12,0.4535,250.0,0.1136,0.5974,0.5833,0.9761,0.9897,0.892,0.2944,,0.1931,117.0
layered_laminf_h100_t10,B,20,100,inf,10,12,0.3458,273.0,0.0847,0.3864,0.3333,1.0724,,,0.1867,,0.0854,140.0
layered_laminf_h100_t25,B,20,100,inf,25,12,0.3458,273.0,0.0847,0.3864,0.3333,1.0724,,,0.1867,,0.0854,140.0
layered_laminf_h100_tnever,B,20,100,inf,,12,0.3458,273.0,0.0847,0.3864,0.3333,1.0724,,,0.1867,,0.0854,140.0
layered_laminf_h20_t10,B,20,20,inf,10,12,0.3206,279.0,0.0773,0.391,0.4167,1.0722,,,0.1615,,0.0602,146.0
layered_laminf_h20_t25,B,20,20,inf,25,12,0.3206,279.0,0.0773,0.391,0.4167,1.0722,,,0.1615,,0.0602,146.0
layered_laminf_h20_tnever,B,20,20,inf,,12,0.3206,279.0,0.0773,0.391,0.4167,1.0722,,,0.1615,,0.0602,146.0
layered_laminf_h50_t10,B,20,50,inf,10,12,0.3083,253.4,0.0824,0.3972,0.4167,1.0722,,,0.1492,,0.0479,120.4
layered_laminf_h50_t25,B,20,50,inf,25,12,0.3083,253.4,0.0824,0.3972,0.4167,1.0722,,,0.1492,,0.0479,120.4
layered_laminf_h50_tnever,B,20,50,inf,,12,0.3083,253.4,0.0824,0.3972,0.4167,1.0722,,,0.1492,,0.0479,120.4
random_goal,B,20,50,1.0,,12,0.2604,133.0,0.154,0.5343,0.0833,0.9439,,,,,0.0,0.0
