condition,variant,size,h_plan,lam,t_reeval,n_seeds,scr,fht,dead_loop_rate,new_states_per_step,success_rate,pe_nav,pe_search,pe_acquire,dscr_vs_flat,dfht_vs_flat,dscr_vs_random,dfht_vs_random
layered_lam2_h50_t25,A,10,50,2.0,25,12,0.7117,106.5,0.1602,0.6954,1.0,0.972,,,0.2667,1.3,0.155,-22.68
layered_lam2_h50_tnever,A,10,50,2.0,,12,0.7117,106.5,0.1602,0.6954,1.0,0.972,,,0.2667,1.3,0.155,-22.68
layered_laminf_h100_t10,A,10,100,inf,10,12,0.7117,106.33,0.1604,0.696,1.0,1.0876,,,0.2667,1.13,0.155,-22.85
layered_laminf_h100_t25,A,10,100,inf,25,12,0.7117,106.33,0.1604,0.696,1.0,1.0876,,,0.2667,1.13,0.155,-22.85
layered_laminf_h100_tnever,A,10,100,inf,,12,0.7117,106.33,0.1604,0.696,1.0,1.0876,,,0.2667,1.13,0.155,-22.85
layered_laminf_h20_t10,A,10,20,inf,10,12,0.6058,83.5,0.1726,0.7353,1.0,1.0921,,,0.1608,-21.7,0.0492,-45.68
layered_laminf_h20_t25,A,10,20,inf,25,12,0.6058,83.5,0.1726,0.7353,1.0,1.0921,,,0.1608,-21.7,0.0492,-45.68
layered_laminf_h20_tnever,A,10,20,inf,,12,0.6058,83.5,0.1726,0.7353,1.0,1.0921,,,0.1608,-21.7,0.0492,-45.68
layered_laminf_h50_t10,A,10,50,inf,10,12,0.7117,106.5,0.1602,0.6954,1.0,1.0876,,,0.2667,1.3,0.155,-22.68
layered_laminf_h50_t25,A,10,50,inf,25,12,0.7117,106.5,0.1602,0.6954,1.0,1.0876,,,0.2667,1.3,0.155,-22.68
layered_laminf_h50_tnever,A,10,50,inf,,12,0.7117,106.5,0.1602,0.6954,1.0,1.0876,,,0.2667,1.3,0.155,-22.68
random_goal,A,10,50,1.0,,12,0.5567,129.18,0.1864,0.5493,0.9167,0.9801,,,,,0.0,0.0
flat_count,B,10,50,1.0,,12,0.3833,114.2,0.0631,0.2115,0.4167,,,,0.0,0.0,,
layered_lam0.5_h100_t10,B,10,100,0.5,10,12,0.5642,75.0,0.1396,0.5781,0.75,0.9481,0.9094,0.9335,0.1808,-39.2,0.1458,-30.0
layered_lam0.5_h100_t25,B,10,100,0.5,25,12,0.5642,75.0,0.1396,0.5781,0.75,0.9481,0.9094,0.9335,0.1808,-39.2,0.1458,-30.0
layered_lam0.5_h100_tnever,B,10,100,0.5,,12,0.5642,75.0,0.1396,0.5781,0.75,0.9481,0.9094,0.9335,0.1808,-39.2,0.1458,-30.0
layered_lam0.5_h20_t10,B,10,20,0.5,10,12,0.5558,85.1,0.1318,0.5976,0.8333,0.9313,0.9008,0.9501,0.1725,-29.1,0.1375,-19.9
layered_lam0.5_h20_t25,B,10,20,0.5,25,12,0.5558,85.1,0.1318,0.5976,0.8333,0.9313,0.9008,0.9501,0.1725,-29.1,0.1375,-19.9
layered_lam0.5_h20_tnever,B,10,20,0.5,,12,0.5558,85.1,0.1318,0.5976,0.8333,0.9313,0.9008,0.9501,0.1725,-29.1,0.1375,-19.9
layered_lam0.5_h50_t10,B,10,50,0.5,10,12,0.5642,75.0,0.1396,0.5781,0.75,0.9477,0.9094,0.9335,0.1808,-39.2,0.1458,-30.0
layered_lam0.5_h50_t25,B,10,50,0.5,25,12,0.5642,75.0,0.1396,0.5781,0.75,0.9477,0.9094,0.9335,0.1808,-39.2,0.1458,-30.0
layered_lam0.5_h50_tnever,B,10,50,0.5,,12,0.5642,75.0,0.1396,0.5781,0.75,0.9477,0.9094,0.9335,0.1808,-39.2,0.1458,-30.0
layered_lam0_h100_t10,B,10,100,0.0,10,12,0.4942,69.57,0.1027,0.4667,0.5833,0.9726,0.8647,0.8704,0.1108,-44.63,0.0758,-35.43
layered_lam0_h100_t25,B,10,100,0.0,25,12,0.4942,69.57,0.1027,0.4667,0.5833,0.9726,0.8647,0.8704,0.1108,-44.63,0.0758,-35.43
layered_lam0_h100_tnever,B,10,100,0.0,,12,0.4942,69.57,0.1027,0.4667,0.5833,0.9726,0.8647,0.8704,0.1108,-44.63,0.0758,-35.43
layered_lam0_h20_t10,B,10,20,0.0,10,12,0.4258,58.83,0.0785,0.4284,0.5,0.9522,0.943,0.7268,0.0425,-55.37,0.0075,-46.17
layered_lam0_h20_t25,B,10,20,0.0,25,12,0.4258,58.83,0.0785,0.4284,0.5,0.952,0.943,0.7018,0.0425,-55.37,0.0075,-46.17
